Nombre,Actividad,entidad,municipio,telefono,correoelec,www,fecha_alta
AGRICOLA DOS MARES,Beneficio de productos agrícolas,Baja California,Ensenada,,RHUMANOS@2MARES.COM.MX,,2019-11
BAJA AQUA FARMS,Pesca de túnidos,Baja California,Ensenada,,ANDRES.GUTIERREZ@BAJAAQUAFARMS.MX,BAJAAQUAFARMS.COM,2023-11
BAJA PK,Otros servicios relacionados con la agricultura,Baja California,Ensenada,,MLOZANO@BAJAPK.COM.MX,,2016-01
HH AND SONS PRODUCE,Beneficio de productos agrícolas,Baja California,Ensenada,,AUXCONTABLE@MTZPRODUCE.COM,,2019-04
PACIFICO AQUACULTURE,Piscicultura en agua salada,Baja California,Ensenada,6461565089,RUBENACOSTA@PACIFICOAQUACULTURE.COM,WWW.PACIFICOAQUACULTURE.COM,2016-01
SERVAX BLEU,Pesca de túnidos,Baja California,Ensenada,,MMARTINEZES@GRUPOALTEX.COM,WWW.GRUPOALTEX.COM.MX,2019-11
SOCIEDAD COOPERATIVA PUEBLO INDIGENA CUCAPA CHAPAY SEISJHIURRAR CUCAPA,"Pesca y captura de peces, crustáceos, moluscos y otras especies",Baja California,San Felipe                                                                  ,6861720221,,,2010-07
AGROPRODUCTOS EL TURION,Beneficio de productos agrícolas,Baja California Sur,Comondú,,KAROL.DELANGEL@GMAIL.COM,,2023-11
AGRICOLA LA PRIMAVERA,Beneficio de productos agrícolas,Sinaloa,Navolato,,JOAQUINU@KALIROY.COM,WWW.KALIROY.COM,2016-01
COMERCIALIZADORA DE LARVAS NAUPLIOS Y CAMARON,Pesca de camarón,Sinaloa,Mazatlán,,SCALLEROS@PROLAMAR.COM,,2019-04
MAZ SARDINA,Pesca de sardina y anchoveta,Sinaloa,Mazatlán,,YMARTINEZ@MAZINDUSTRIAL.COM,WWW.MAZSINSA.COM,2010-07
PESCA AZTECA,Pesca de túnidos,Sinaloa,Mazatlán,,JOSE.VILLARREAL@PESCAAZTECA.COM,PESCAAZTECA.COM.MX,2010-07
PESCA INDUSTRIAL MAROS,Pesca de camarón,Sinaloa,Mazatlán,,MAROS@PRODIGY.NET.MX,WWW.MAROS.COM.MX,2020-04
PESQUERA MONETO,Pesca de camarón,Sinaloa,Mazatlán,,PESQUERAMONETO@GMAIL.COM,,2019-11
SCPP EUSTAQUIO URIAS VALDEZ,Pesca de camarón,Sinaloa,Ahome,6682472190,EUPAREDONES@HOTMAIL.COM,,2014-12
SCPP PESCADORES DE LA BAHIA DE BARADITO Y ALTAMURA,Pesca de camarón,Sinaloa,Navolato,,,,2025-04
SOCIEDAD COOPERATIVA DE PRODUCCION PESQUERA RIBEREÑA DE DAUTILLOS,Pesca de camarón,Sinaloa,Navolato,,,,2025-04
ACUICOLA SELECTA,Camaronicultura y acuicultura de otros crustáceos en agua dulce,Sonora,Hermosillo,6622130858,JACOBO.COKER@SELECTA.COM.MX,,2010-07
AGRICOLA BACATETE,Beneficio de productos agrícolas,Sonora,Hermosillo,,COMERCIOEXTERIOR@BAY.COM.MX,,2019-11
AGRICOLA SELVA,Beneficio de productos agrícolas,Sonora,Hermosillo,,COMERCIOEXTERIOR@BAY.COM.MX,,2019-11
AGRÍCOLA TORUGOS,Otros servicios relacionados con la agricultura,Sonora,Cajeme,,TORUGOS1@GMAIL.COM,,2019-04
AGRIMARGOT,Beneficio de productos agrícolas,Sonora,Hermosillo,,LORENIAQUINTANA.E@HOTMAIL.COM,,2024-05
AQUASOLES,Camaronicultura y acuicultura de otros crustáceos en agua dulce,Sonora,Cajeme,,ALEYVA@SOLES.COM.MX,,2024-11
FARM TRUCK FRESH,Beneficio de productos agrícolas,Sonora,San Luis Río Colorado,,BETZABEL.SILVA@CBNORTEMX.COM,,2019-11
GENITECH,Camaronicultura y acuicultura de otros crustáceos en agua salada,Sonora,Cajeme,6444148887,,,2016-10
GRANJA SANTA MARGARITA,Camaronicultura y acuicultura de otros crustáceos en agua salada,Sonora,San Ignacio Río Muerto,,REBECKAZARATE@GRUPOOCHOA.MX,,2010-07
PRODUCTORES UNIDOS DE COCORIT,Camaronicultura y acuicultura de otros crustáceos en agua salada,Sonora,San Ignacio Río Muerto,6444144517,MISAEL.LOPEZ@GRUPORIOYAQUI.COM,,2019-11
PROGENMAR,Camaronicultura y acuicultura de otros crustáceos en agua salada,Sonora,Cajeme,,MESADECONTROL@GENITECH.MX,,2023-11
S A Y S A,Beneficio de productos agrícolas,Sonora,Cajeme,,RCASTRO@HORTICOLA.COM.MX,,2010-07
SOCIEDAD COOPERATIVA DE PRODUCCION PESQUERA COMUNIDADES YAQUIS,Pesca de camarón,Sonora,Guaymas,,,,2014-12
UNION DE PRODUCTORES PESQUEROS DE HUATABAMPO,"Pesca y captura de peces, crustáceos, moluscos y otras especies",Sonora,Huatabampo,,,,2025-04
EMPACADORA PROMARMEX,"Pesca y captura de peces, crustáceos, moluscos y otras especies",Yucatán,Progreso,,SILVIA.PROMARMEX@PRODIGY.NET.MX,WWW.EMPACADORAPROMARMEX.COM,2019-11
"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES SIN NOMBRE","Pesca y captura de peces, crustáceos, moluscos y otras especies",Yucatán,Progreso,,FRESHCO_BARCOS@HOTMAIL.COM,,2010-07
PESCADOS MEXICANOS,"Pesca y captura de peces, crustáceos, moluscos y otras especies",Yucatán,Progreso,,,,2025-04
RIVEREÑOS DE SISAL,"Pesca y captura de peces, crustáceos, moluscos y otras especies",Yucatán,Hunucmá,9992393774,RIVERES.SISAL@HOTMAIL.COM,,2010-07
SCPP PESCADORES DE RIO LAGARTOS,"Pesca y captura de peces, crustáceos, moluscos y otras especies",Yucatán,Río Lagartos,,,,2010-07
SCPP PESCADORES UNIDOS DE SAN FELIPE ,"Pesca y captura de peces, crustáceos, moluscos y otras especies",Yucatán,San Felipe,9868614990,CRISTO-PHER-8@HOTMAIL.COM,,2010-07
