EXPORTACIONES/IMPORTACIONES,STATE ID,AÑO,ESTADO,VALOR,PORCENTAJE
Exportaciones,2,2024,Baja California,302409956,0.430876228
Exportaciones,3,2024,Baja California Sur,68273694,0.097276929
Exportaciones,4,2024,Campeche,6634568,0.009452988
Exportaciones,6,2024,Colima,11026326,0.015710401
Exportaciones,9,2024,Ciudad de México,5308321,0.00756334
Exportaciones,12,2024,Guerrero,21439,3.05465E-05
Exportaciones,15,2024,Estado de México,2295786,0.003271055
Exportaciones,21,2024,Puebla,40860,5.82177E-05
Exportaciones,23,2024,Quintana Roo,3324388,0.004736616
Exportaciones,25,2024,Sinaloa,111640529,0.159066357
Exportaciones,26,2024,Sonora,102748600,0.146397062
Exportaciones,28,2024,Tamaulipas,1408649,0.002007055
Exportaciones,31,2024,Yucatán,86715666,0.123553204
Exportaciones,2,2023,Baja California,320032481,0.42890859
Exportaciones,3,2023,Baja California Sur,79565404,0.106633818
Exportaciones,4,2023,Campeche,8091942,0.010844847
Exportaciones,7,2023,Chiapas,5278111,0.007073742
Exportaciones,9,2023,Ciudad de México,3013792,0.004039094
Exportaciones,12,2023,Guerrero,141877,0.000190144
Exportaciones,14,2023,Jalisco,1182533,0.001584835
Exportaciones,15,2023,Estado de México,5068861,0.006793304
Exportaciones,21,2023,Puebla,40075,5.37086E-05
Exportaciones,23,2023,Quintana Roo,2108446,0.002825746
Exportaciones,25,2023,Sinaloa,88140278,0.118125892
Exportaciones,26,2023,Sonora,126243723,0.169192255
Exportaciones,28,2023,Tamaulipas,1533066,0.00205462
Exportaciones,30,2023,Veracruz de Ignacio de la Llave,4785865,0.006414032
Exportaciones,31,2023,Yucatán,100928993,0.135265371
Exportaciones,2,2022,Baja California,320187020,0.341614448
Exportaciones,3,2022,Baja California Sur,73308635,0.078214566
Exportaciones,4,2022,Campeche,11765719,0.0125531
Exportaciones,7,2022,Chiapas,5897534,0.006292206
Exportaciones,9,2022,Ciudad de México,11726041,0.012510766
Exportaciones,14,2022,Jalisco,3067731,0.003273028
Exportaciones,15,2022,Estado de México,2556226,0.002727293
Exportaciones,18,2022,Nayarit,1555698,0.001659808
Exportaciones,19,2022,Nuevo León,382139,0.000407712
Exportaciones,21,2022,Puebla,37999,4.0542E-05
Exportaciones,23,2022,Quintana Roo,2143568,0.002287019
Exportaciones,25,2022,Sinaloa,181838315,0.194007226
Exportaciones,26,2022,Sonora,207786089,0.221691467
Exportaciones,28,2022,Tamaulipas,1870946,0.001996153
Exportaciones,30,2022,Veracruz de Ignacio de la Llave,4939281,0.005269826
Exportaciones,31,2022,Yucatán,107650547,0.114854694
Exportaciones,33,2022,No Informado,562502,0.000600146
Exportaciones,2,2021,Baja California,293895416,0.311222847
Exportaciones,3,2021,Baja California Sur,60884064,0.064473655
Exportaciones,4,2021,Campeche,10181891,0.010782193
Exportaciones,7,2021,Chiapas,4760361,0.005041021
Exportaciones,9,2021,Ciudad de México,19877495,0.021049429
Exportaciones,11,2021,Guanajuato,2228049,0.00235941
Exportaciones,14,2021,Jalisco,2509685,0.002657651
Exportaciones,15,2021,Estado de México,1270768,0.00134569
Exportaciones,20,2021,Oaxaca,759690,0.00080448
Exportaciones,21,2021,Puebla,41809,4.4274E-05
Exportaciones,23,2021,Quintana Roo,5998264,0.006351909
Exportaciones,25,2021,Sinaloa,169119770,0.179090702
Exportaciones,26,2021,Sonora,198158297,0.209841277
Exportaciones,28,2021,Tamaulipas,3301463,0.00349611
Exportaciones,30,2021,Veracruz de Ignacio de la Llave,4795716,0.005078461
Exportaciones,31,2021,Yucatán,164209989,0.173891451
Exportaciones,33,2021,No Informado,2331954,0.002469441
Exportaciones,2,2020,Baja California,213238329,0.265688715
Exportaciones,3,2020,Baja California Sur,54796428,0.068274745
Exportaciones,4,2020,Campeche,7016448,0.008742289
Exportaciones,7,2020,Chiapas,53127,6.61947E-05
Exportaciones,9,2020,Ciudad de México,35097861,0.043730907
Exportaciones,14,2020,Jalisco,2158431,0.002689342
Exportaciones,15,2020,Estado de México,505542,0.000629891
Exportaciones,18,2020,Nayarit,1576117,0.001963796
Exportaciones,20,2020,Oaxaca,1704453,0.002123699
Exportaciones,21,2020,Puebla,21001,2.61666E-05
Exportaciones,23,2020,Quintana Roo,9191104,0.011451847
Exportaciones,25,2020,Sinaloa,170966485,0.213019235
Exportaciones,26,2020,Sonora,209626040,0.261187909
Exportaciones,28,2020,Tamaulipas,2320761,0.0028916
Exportaciones,30,2020,Veracruz de Ignacio de la Llave,3599666,0.004485078
Exportaciones,31,2020,Yucatán,90246477,0.112444468
Exportaciones,33,2020,No Informado,468805,0.000584117
Exportaciones,2,2019,Baja California,252646356,0.25304303
Exportaciones,3,2019,Baja California Sur,53506235,0.053590244
Exportaciones,4,2019,Campeche,11068949,0.011086328
Exportaciones,9,2019,Ciudad de México,37627895,0.037686974
Exportaciones,14,2019,Jalisco,4158937,0.004165467
Exportaciones,15,2019,Estado de México,185426,0.000185717
Exportaciones,19,2019,Nuevo León,173050,0.000173322
Exportaciones,20,2019,Oaxaca,1930541,0.001933572
Exportaciones,21,2019,Puebla,2107,2.11031E-06
