Empresa,Porcentaje,pais
Marindustrias SA de CV,25.10,Estados Unidos
Marindustrias SA de CV,48.70,España
Marindustrias SA de CV,10.40,México
Marindustrias SA de CV,4.60,Costa Rica
Marindustrias SA de CV,2.9,Italia
Marindustrias SA de CV,2,Francia
Marindustrias SA de CV,1.5,Puerto Rico
Marindustrias SA de CV,0.9,Panamá
Marindustrias SA de CV,0.6,Vietnam
Marindustrias SA de CV,0.6,Guatemala
Marindustrias SA de CV,0.6,Taiwán
Marindustrias SA de CV,0.4,Perú
Marindustrias SA de CV,0.4,Corea del Sur
Marindustrias SA de CV,0.3,Cuba
Marindustrias SA de CV,0.3,China
Marindustrias SA de CV,0.1,Venezuela
Marindustrias SA de CV,0.1,Angola
Marindustrias SA de CV,0.1,Bélgica
Marindustrias SA de CV,0.1,Canadá
Marindustrias SA de CV,0.1,Indonesia
Marindustrias SA de CV,0.1,Libia
Congeladora Daysa SA de CV,100,Estados Unidos
Pinsa Congelados SA de CV,82.9,España
Pinsa Congelados SA de CV,9.6,Estados Unidos
Pinsa Congelados SA de CV,5.8,Canadá
Pinsa Congelados SA de CV,0.9,Perú
Pinsa Congelados SA de CV,0.3,Nueva Zelanda
Pinsa Congelados SA de CV,0.2,Chile
Pinsa Congelados SA de CV,0.2,México
Pinsa Congelados SA de CV,0.1,Tailandia
Pinsa Congelados SA de CV,0.1,Ecuador
Pinsa Congelados SA de CV,0.1,Panamá
Ahome Acuicola SA de CV,97.00,Estados Unidos
Grupomar SA de CV,75.6,China
Grupomar SA de CV,8.9,Hong Kong
Grupomar SA de CV,7.8,Estados Unidos
Grupomar SA de CV,2.2,Costa Rica
Grupomar SA de CV,1.1,España
Grupomar SA de CV,1.1,Canadá
Grupomar SA de CV,1.1,Singapur
Grupomar SA de CV,1.1,Turquía
Grupomar SA de CV,1.1,Reino Unido
Acuacultura Integral de Baja California SA de CV,96.3,Estados Unidos
Acuacultura Integral de Baja California SA de CV,1.6,Guatemala
Acuacultura Integral de Baja California SA de CV,1.2,China
Acuacultura Integral de Baja California SA de CV,0.5,Panamá
Acuacultura Integral de Baja California SA de CV,0.5,Honduras
Pacifico Aquaculture SA de CV,58.1,Canadá
Pacifico Aquaculture SA de CV,13.4,Estados Unidos
Pacifico Aquaculture SA de CV,5.5,Costa Rica
Pacifico Aquaculture SA de CV,5.4,China
Pacifico Aquaculture SA de CV,2.1,Chile
Pacifico Aquaculture SA de CV,1.8,Dinamarca
Pacifico Aquaculture SA de CV,1.6,Japón
Pacifico Aquaculture SA de CV,1.2,México
Pacifico Aquaculture SA de CV,1.1,Noruega
Pacifico Aquaculture SA de CV,1.1,Reino Unido
Pacifico Aquaculture SA de CV,1.1,Alemania
Pacifico Aquaculture SA de CV,0.9,Corea del Sur
Pacifico Aquaculture SA de CV,0.8,Italia
Pacifico Aquaculture SA de CV,0.8,Suiza
Pacifico Aquaculture SA de CV,0.6,Hungría
Pacifico Aquaculture SA de CV,0.6,Taiwán
Pacifico Aquaculture SA de CV,0.4,Países Bajos
Pacifico Aquaculture SA de CV,0.4,España
Pacifico Aquaculture SA de CV,0.4,India
Pacifico Aquaculture SA de CV,0.3,Perú
Pacifico Aquaculture SA de CV,0.3,Suecia
Pacifico Aquaculture SA de CV,0.3,Grecia
Pacifico Aquaculture SA de CV,0.2,Singapur
Pacifico Aquaculture SA de CV,0.2,Francia
Pacifico Aquaculture SA de CV,0.2,Bélgica
Pacifico Aquaculture SA de CV,0.2,Islandia
Pacifico Aquaculture SA de CV,0.1,Vietnam
Pacifico Aquaculture SA de CV,0.1,Irlanda
Pacifico Aquaculture SA de CV,0.1,Malasia
Pacifico Aquaculture SA de CV,0.1,Tailandia
Pacifico Aquaculture SA de CV,0.1,Australia
Pacifico Aquaculture SA de CV,0.1,Eslovenia
Pacifico Aquaculture SA de CV,0.1,Brasil
Pacifico Aquaculture SA de CV,0.1,Malta
Pacifico Aquaculture SA de CV,0.1,Polonia
Pacifico Aquaculture SA de CV,0.1,Nueva Zelanda
Pacifico Aquaculture SA de CV,0.1,Puerto Rico
Pacifico Aquaculture SA de CV,0.1,Austria
Pacifico Aquaculture SA de CV,0.1,República Checa
Pesquera Miramar SA de CV,81.1,Estados Unidos
Pesquera Miramar SA de CV,15.1,Italia
Pesquera Miramar SA de CV,1.4,España
Pesquera Miramar SA de CV,1,Ghana
Pesquera Miramar SA de CV,0.7,Reino Unido
Pesquera Miramar SA de CV,0.3,Chipre
Pesquera Miramar SA de CV,0.3,Países Bajos
Marganzo Seafood SA de CV,0.97,Estados Unidos
